Case ID,Start Timestamp,Complete Timestamp,Activity,Resource,Role
940,2011/05/28 16:11:00.000,2011/05/28 16:19:00.000,Pay invoice,R-972,Financial Manager
1417,2011/07/23 12:53:00.000,2011/07/23 13:31:00.000,Create Purchase Requisition,R-371,Requester
1417,2011/07/23 17:51:00.000,2011/07/23 17:59:00.000,Create Request for Quotation Requester,R-874,Requester
1417,2011/08/02 07:02:00.000,2011/08/02 07:24:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
1417,2011/08/02 08:17:00.000,2011/08/02 08:27:00.000,Amend Request for Quotation Requester,R-563,Requester Manager
1417,2011/08/08 04:03:00.000,2011/08/08 04:23:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
159,2011/01/21 15:02:00.000,2011/01/21 15:42:00.000,Create Purchase Requisition,R-790,Requester
159,2011/01/22 02:58:00.000,2011/01/22 03:05:00.000,Analyze Purchase Requisition,R-775,Requester Manager
159,2011/01/22 03:11:00.000,2011/01/22 03:14:00.000,Create Request for Quotation Requester Manager,R-729,Requester Manager
159,2011/01/23 03:45:00.000,2011/01/23 03:59:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
159,2011/01/23 04:48:00.000,2011/01/23 04:54:00.000,Amend Request for Quotation Requester,R-371,Requester Manager
159,2011/01/23 06:20:00.000,2011/01/23 06:36:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
159,2011/01/23 07:31:00.000,2011/01/23 07:43:00.000,Amend Request for Quotation Requester,R-763,Requester Manager
159,2011/01/25 23:12:00.000,2011/01/25 23:38:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
159,2011/01/27 05:39:00.000,2011/01/27 06:07:00.000,Send Request for Quotation to Supplier,R-810,Purchasing Agent
159,2011/01/27 10:59:00.000,2011/01/27 12:45:00.000,Create Quotation comparison Map,R-594,Purchasing Agent
159,2011/01/27 19:17:00.000,2011/01/27 19:37:00.000,Analyze Quotation comparison Map,R-790,Requester
159,2011/01/27 19:37:00.000,2011/01/27 19:37:00.000,Choose best option,R-846,Requester
159,2011/01/30 07:21:00.000,2011/01/30 19:48:00.000,Settle conditions with supplier,R-312,Purchasing Agent
159,2011/01/31 03:09:00.000,2011/01/31 03:20:00.000,Create Purchase Order,R-810,Purchasing Agent
159,2011/01/31 17:59:00.000,2011/01/31 18:25:00.000,Confirm Purchase Order,R-543,Supplier
159,2011/02/02 22:12:00.000,2011/02/03 15:33:00.000,Deliver Goods Services,R-274,Supplier
159,2011/02/03 23:37:00.000,2011/02/03 23:38:00.000,Release Purchase Order,R-563,Requester
159,2011/02/04 09:15:00.000,2011/02/04 09:16:00.000,Approve Purchase Order for payment,R-594,Purchasing Agent
159,2011/02/04 22:13:00.000,2011/02/04 22:13:00.000,Send invoice,R-274,Supplier
159,2011/02/05 12:25:00.000,2011/02/05 12:28:00.000,Release Supplier's Invoice,R-972,Financial Manager
159,2011/02/05 12:52:00.000,2011/02/05 13:10:00.000,Settle dispute with supplier Financial Manager,R-972,Financial Manager
159,2011/02/05 13:10:00.000,2011/02/05 13:10:00.000,Authorize Supplier's Invoice payment,R-972,Financial Manager
159,2011/02/05 14:13:00.000,2011/02/05 14:23:00.000,Pay invoice,R-752,Financial Manager
330,2011/02/15 13:26:00.000,2011/02/15 14:06:00.000,Create Purchase Requisition,R-330,Requester
330,2011/02/16 09:12:00.000,2011/02/16 09:18:00.000,Analyze Purchase Requisition,R-775,Requester Manager
330,2011/02/16 09:24:00.000,2011/02/16 09:27:00.000,Create Request for Quotation Requester Manager,R-264,Requester Manager
330,2011/02/16 10:49:00.000,2011/02/16 11:21:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
330,2011/02/16 12:27:00.000,2011/02/16 12:33:00.000,Amend Request for Quotation Requester,R-170,Requester Manager
330,2011/02/20 11:11:00.000,2011/02/20 11:39:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
330,2011/02/20 12:26:00.000,2011/02/20 12:40:00.000,Amend Request for Quotation Requester,R-439,Requester Manager
330,2011/02/21 07:26:00.000,2011/02/21 07:59:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
158,2011/01/21 12:26:00.000,2011/01/21 13:01:00.000,Create Purchase Requisition,R-371,Requester
158,2011/01/21 21:06:00.000,2011/01/21 21:14:00.000,Create Request for Quotation Requester,R-591,Requester
158,2011/01/24 03:22:00.000,2011/01/24 03:37:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
158,2011/01/25 14:55:00.000,2011/01/25 15:19:00.000,Send Request for Quotation to Supplier,R-594,Purchasing Agent
158,2011/01/25 15:34:00.000,2011/01/25 19:57:00.000,Create Quotation comparison Map,R-810,Purchasing Agent
158,2011/01/26 02:04:00.000,2011/01/26 02:22:00.000,Analyze Quotation comparison Map,R-753,Requester
158,2011/01/26 02:22:00.000,2011/01/26 02:22:00.000,Choose best option,R-297,Requester
158,2011/01/26 05:07:00.000,2011/01/26 17:24:00.000,Settle conditions with supplier,R-810,Purchasing Agent
158,2011/01/27 06:44:00.000,2011/01/27 06:53:00.000,Create Purchase Order,R-810,Purchasing Agent
158,2011/01/28 07:19:00.000,2011/01/28 07:29:00.000,Confirm Purchase Order,R-346,Supplier
158,2011/01/29 22:09:00.000,2011/01/31 08:44:00.000,Deliver Goods Services,R-392,Supplier
158,2011/01/31 16:37:00.000,2011/01/31 16:38:00.000,Release Purchase Order,R-763,Requester
158,2011/02/01 00:19:00.000,2011/02/01 00:20:00.000,Approve Purchase Order for payment,R-594,Purchasing Agent
158,2011/02/01 07:07:00.000,2011/02/01 07:07:00.000,Send invoice,R-368,Supplier
158,2011/02/01 21:26:00.000,2011/02/01 21:31:00.000,Release Supplier's Invoice,R-972,Financial Manager
158,2011/02/01 21:31:00.000,2011/02/01 21:31:00.000,Authorize Supplier's Invoice payment,R-752,Financial Manager
158,2011/02/01 21:49:00.000,2011/02/01 21:59:00.000,Pay invoice,R-752,Financial Manager
949,2011/05/17 22:11:00.000,2011/05/17 23:06:00.000,Create Purchase Requisition,R-591,Requester
949,2011/05/18 15:19:00.000,2011/05/18 15:26:00.000,Analyze Purchase Requisition,R-729,Requester Manager
949,2011/05/18 15:33:00.000,2011/05/18 15:34:00.000,Create Request for Quotation Requester Manager,R-729,Requester Manager
949,2011/06/05 02:58:00.000,2011/06/05 03:26:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
949,2011/06/05 04:20:00.000,2011/06/05 04:29:00.000,Amend Request for Quotation Requester,R-239,Requester Manager
949,2011/06/21 18:42:00.000,2011/06/21 19:00:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
949,2011/06/21 19:48:00.000,2011/06/21 19:55:00.000,Amend Request for Quotation Requester,R-874,Requester Manager
949,2011/07/18 10:05:00.000,2011/07/18 10:23:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
949,2011/07/20 10:25:00.000,2011/07/20 10:51:00.000,Send Request for Quotation to Supplier,R-312,Purchasing Agent
949,2011/07/20 10:54:00.000,2011/07/20 12:28:00.000,Create Quotation comparison Map,R-312,Purchasing Agent
949,2011/07/20 19:26:00.000,2011/07/20 19:49:00.000,Analyze Quotation comparison Map,R-297,Requester
949,2011/07/20 19:49:00.000,2011/07/20 19:49:00.000,Choose best option,R-753,Requester
949,2011/07/21 06:37:00.000,2011/07/21 17:38:00.000,Settle conditions with supplier,R-312,Purchasing Agent
949,2011/07/22 02:37:00.000,2011/07/22 02:44:00.000,Create Purchase Order,R-810,Purchasing Agent
949,2011/08/03 10:50:00.000,2011/08/03 11:13:00.000,Confirm Purchase Order,R-543,Supplier
949,2011/08/11 13:07:00.000,2011/08/13 05:57:00.000,Deliver Goods Services,R-346,Supplier
949,2011/08/13 13:32:00.000,2011/08/13 13:33:00.000,Release Purchase Order,R-330,Requester
949,2011/08/13 23:29:00.000,2011/08/13 23:30:00.000,Approve Purchase Order for payment,R-312,Purchasing Agent
949,2011/08/20 08:39:00.000,2011/08/20 08:39:00.000,Send invoice,R-346,Supplier
949,2011/08/20 22:58:00.000,2011/08/20 23:04:00.000,Release Supplier's Invoice,R-752,Financial Manager
949,2011/08/20 23:41:00.000,2011/08/21 00:09:00.000,Settle dispute with supplier Financial Manager,R-752,Financial Manager
949,2011/08/21 00:09:00.000,2011/08/21 00:09:00.000,Authorize Supplier's Invoice payment,R-972,Financial Manager
949,2011/08/21 00:33:00.000,2011/08/21 00:43:00.000,Pay invoice,R-752,Financial Manager
157,2011/01/21 09:59:00.000,2011/01/21 10:12:00.000,Create Purchase Requisition,R-753,Requester
157,2011/01/21 23:43:00.000,2011/01/21 23:50:00.000,Analyze Purchase Requisition,R-729,Requester Manager
157,2011/01/21 23:54:00.000,2011/01/21 23:56:00.000,Create Request for Quotation Requester Manager,R-775,Requester Manager
157,2011/01/23 05:29:00.000,2011/01/23 05:39:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
157,2011/01/23 06:35:00.000,2011/01/23 06:43:00.000,Amend Request for Quotation Requester,R-753,Requester Manager
157,2011/01/23 11:31:00.000,2011/01/23 12:07:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
156,2011/01/21 08:49:00.000,2011/01/21 09:18:00.000,Create Purchase Requisition,R-297,Requester
156,2011/01/22 09:04:00.000,2011/01/22 09:13:00.000,Analyze Purchase Requisition,R-775,Requester Manager
156,2011/01/22 09:17:00.000,2011/01/22 09:20:00.000,Create Request for Quotation Requester Manager,R-729,Requester Manager
156,2011/01/23 06:32:00.000,2011/01/23 06:59:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
156,2011/01/23 07:46:00.000,2011/01/23 07:54:00.000,Amend Request for Quotation Requester,R-297,Requester Manager
156,2011/01/25 01:26:00.000,2011/01/25 02:02:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
156,2011/01/25 02:43:00.000,2011/01/25 02:57:00.000,Amend Request for Quotation Requester,R-768,Requester Manager
156,2011/01/25 21:07:00.000,2011/01/25 21:34:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
1310,2011/07/07 19:12:00.000,2011/07/07 19:46:00.000,Create Purchase Requisition,R-371,Requester
1310,2011/07/08 02:52:00.000,2011/07/08 03:02:00.000,Create Request for Quotation Requester,R-439,Requester
1310,2011/09/15 03:17:00.000,2011/09/15 03:37:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
1310,2011/09/15 04:28:00.000,2011/09/15 04:40:00.000,Amend Request for Quotation Requester,R-330,Requester Manager
1310,2011/09/21 01:44:00.000,2011/09/21 02:01:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
1310,2011/09/21 11:17:00.000,2011/09/21 11:44:00.000,Send Request for Quotation to Supplier,R-594,Purchasing Agent
1310,2011/09/21 11:58:00.000,2011/09/21 15:42:00.000,Create Quotation comparison Map,R-594,Purchasing Agent
1310,2011/09/21 22:35:00.000,2011/09/21 22:46:00.000,Analyze Quotation comparison Map,R-763,Requester
1310,2011/09/21 22:46:00.000,2011/09/21 22:46:00.000,Choose best option,R-763,Requester
1310,2011/09/22 02:06:00.000,2011/09/22 09:28:00.000,Settle conditions with supplier,R-810,Purchasing Agent
1310,2011/09/22 11:10:00.000,2011/09/22 11:22:00.000,Create Purchase Order,R-594,Purchasing Agent
1310,2011/09/25 03:11:00.000,2011/09/25 03:41:00.000,Confirm Purchase Order,R-392,Supplier
1310,2011/10/02 23:07:00.000,2011/10/03 05:55:00.000,Deliver Goods Services,R-543,Supplier
1310,2011/10/03 13:27:00.000,2011/10/03 13:28:00.000,Release Purchase Order,R-563,Requester
1310,2011/10/04 12:51:00.000,2011/10/04 12:52:00.000,Approve Purchase Order for payment,R-312,Purchasing Agent
1310,2011/10/11 03:46:00.000,2011/10/11 03:46:00.000,Send invoice,R-368,Supplier
1310,2011/10/11 18:12:00.000,2011/10/11 18:17:00.000,Release Supplier's Invoice,R-752,Financial Manager
1310,2011/10/11 18:37:00.000,2011/10/11 18:37:00.000,Authorize Supplier's Invoice payment,R-752,Financial Manager
1310,2011/10/11 18:47:00.000,2011/10/11 19:01:00.000,Pay invoice,R-752,Financial Manager
155,2011/01/20 21:08:00.000,2011/01/20 21:48:00.000,Create Purchase Requisition,R-563,Requester
155,2011/01/21 02:55:00.000,2011/01/21 03:01:00.000,Create Request for Quotation Requester,R-790,Requester
155,2011/01/23 06:49:00.000,2011/01/23 07:19:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
155,2011/01/23 07:55:00.000,2011/01/23 08:02:00.000,Amend Request for Quotation Requester,R-874,Requester Manager
155,2011/01/23 20:26:00.000,2011/01/23 20:53:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
155,2011/01/23 21:48:00.000,2011/01/23 21:58:00.000,Amend Request for Quotation Requester,R-371,Requester Manager
155,2011/01/25 00:58:00.000,2011/01/25 01:14:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
155,2011/01/25 17:55:00.000,2011/01/25 18:20:00.000,Send Request for Quotation to Supplier,R-594,Purchasing Agent
155,2011/01/25 18:41:00.000,2011/01/25 20:42:00.000,Create Quotation comparison Map,R-594,Purchasing Agent
155,2011/01/26 02:30:00.000,2011/01/26 02:45:00.000,Analyze Quotation comparison Map,R-790,Requester
155,2011/01/26 02:45:00.000,2011/01/26 02:45:00.000,Choose best option,R-763,Requester
155,2011/01/26 06:47:00.000,2011/01/26 16:49:00.000,Settle conditions with supplier,R-594,Purchasing Agent
155,2011/01/26 23:30:00.000,2011/01/26 23:42:00.000,Create Purchase Order,R-810,Purchasing Agent
155,2011/01/28 06:54:00.000,2011/01/28 07:27:00.000,Confirm Purchase Order,R-392,Supplier
155,2011/01/29 21:07:00.000,2011/01/31 12:51:00.000,Deliver Goods Services,R-368,Supplier
155,2011/01/31 20:14:00.000,2011/01/31 20:15:00.000,Release Purchase Order,R-591,Requester
155,2011/02/01 00:57:00.000,2011/02/01 10:32:00.000,Settle dispute with supplier Purchasing Agent,R-594,Purchasing Agent
155,2011/02/01 17:53:00.000,2011/02/01 17:54:00.000,Release Purchase Order,R-874,Requester
155,2011/02/02 00:16:00.000,2011/02/02 00:17:00.000,Approve Purchase Order for payment,R-810,Purchasing Agent
155,2011/02/02 19:12:00.000,2011/02/02 19:12:00.000,Send invoice,R-346,Supplier
155,2011/02/03 09:30:00.000,2011/02/03 09:32:00.000,Release Supplier's Invoice,R-972,Financial Manager
155,2011/02/03 09:32:00.000,2011/02/03 09:32:00.000,Authorize Supplier's Invoice payment,R-972,Financial Manager
155,2011/02/03 10:27:00.000,2011/02/03 10:40:00.000,Pay invoice,R-752,Financial Manager
334,2011/02/16 04:45:00.000,2011/02/16 05:03:00.000,Create Purchase Requisition,R-874,Requester
334,2011/02/16 15:40:00.000,2011/02/16 15:48:00.000,Analyze Purchase Requisition,R-775,Requester Manager
334,2011/02/16 15:56:00.000,2011/02/16 15:58:00.000,Create Request for Quotation Requester Manager,R-264,Requester Manager
334,2011/02/20 13:09:00.000,2011/02/20 13:36:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
948,2011/05/17 22:06:00.000,2011/05/17 22:18:00.000,Create Purchase Requisition,R-439,Requester
948,2011/05/18 10:44:00.000,2011/05/18 10:51:00.000,Analyze Purchase Requisition,R-264,Requester Manager
154,2011/01/20 10:40:00.000,2011/01/20 11:06:00.000,Create Purchase Requisition,R-763,Requester
154,2011/01/20 18:36:00.000,2011/01/20 18:46:00.000,Create Request for Quotation Requester,R-239,Requester
154,2011/01/23 01:44:00.000,2011/01/23 02:20:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
154,2011/01/23 18:12:00.000,2011/01/23 18:25:00.000,Amend Request for Quotation Requester Manager,R-729,Requester Manager
154,2011/01/24 04:36:00.000,2011/01/24 04:47:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
154,2011/01/25 12:13:00.000,2011/01/25 12:43:00.000,Send Request for Quotation to Supplier,R-810,Purchasing Agent
154,2011/01/25 13:09:00.000,2011/01/25 15:33:00.000,Create Quotation comparison Map,R-810,Purchasing Agent
154,2011/01/25 22:01:00.000,2011/01/25 22:34:00.000,Analyze Quotation comparison Map,R-591,Requester
154,2011/01/25 22:34:00.000,2011/01/25 22:34:00.000,Choose best option,R-239,Requester
154,2011/01/26 01:14:00.000,2011/01/26 13:26:00.000,Settle conditions with supplier,R-312,Purchasing Agent
154,2011/01/26 23:19:00.000,2011/01/26 23:30:00.000,Create Purchase Order,R-810,Purchasing Agent
154,2011/01/28 06:21:00.000,2011/01/28 06:46:00.000,Confirm Purchase Order,R-346,Supplier
154,2011/01/30 22:20:00.000,2011/01/31 20:06:00.000,Deliver Goods Services,R-274,Supplier
154,2011/02/01 03:18:00.000,2011/02/01 03:19:00.000,Release Purchase Order,R-768,Requester
154,2011/02/01 11:13:00.000,2011/02/01 11:14:00.000,Approve Purchase Order for payment,R-594,Purchasing Agent
154,2011/02/02 13:20:00.000,2011/02/02 13:20:00.000,Send invoice,R-346,Supplier
154,2011/02/03 03:36:00.000,2011/02/03 03:39:00.000,Release Supplier's Invoice,R-752,Financial Manager
154,2011/02/03 03:39:00.000,2011/02/03 03:39:00.000,Authorize Supplier's Invoice payment,R-752,Financial Manager
154,2011/02/03 04:25:00.000,2011/02/03 04:38:00.000,Pay invoice,R-972,Financial Manager
335,2011/02/16 05:46:00.000,2011/02/16 05:53:00.000,Create Purchase Requisition,R-846,Requester
335,2011/02/16 16:55:00.000,2011/02/16 17:01:00.000,Analyze Purchase Requisition,R-729,Requester Manager
335,2011/02/16 17:05:00.000,2011/02/16 17:06:00.000,Create Request for Quotation Requester Manager,R-775,Requester Manager
335,2011/02/20 11:40:00.000,2011/02/20 12:07:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
335,2011/02/20 17:30:00.000,2011/02/20 17:59:00.000,Send Request for Quotation to Supplier,R-312,Purchasing Agent
335,2011/02/20 18:24:00.000,2011/02/20 23:30:00.000,Create Quotation comparison Map,R-312,Purchasing Agent
335,2011/02/21 06:07:00.000,2011/02/21 06:35:00.000,Analyze Quotation comparison Map,R-874,Requester
335,2011/02/21 06:35:00.000,2011/02/21 06:35:00.000,Choose best option,R-768,Requester
335,2011/02/21 09:26:00.000,2011/02/21 23:14:00.000,Settle conditions with supplier,R-594,Purchasing Agent
335,2011/02/22 09:26:00.000,2011/02/22 09:34:00.000,Create Purchase Order,R-810,Purchasing Agent
335,2011/02/23 02:48:00.000,2011/02/23 02:53:00.000,Confirm Purchase Order,R-274,Supplier
335,2011/02/23 21:39:00.000,2011/02/25 17:39:00.000,Deliver Goods Services,R-346,Supplier
335,2011/02/26 01:43:00.000,2011/02/26 01:44:00.000,Release Purchase Order,R-763,Requester
335,2011/02/28 08:34:00.000,2011/02/28 08:35:00.000,Approve Purchase Order for payment,R-312,Purchasing Agent
335,2011/02/28 20:12:00.000,2011/02/28 20:12:00.000,Send invoice,R-543,Supplier
335,2011/03/01 10:29:00.000,2011/03/01 10:34:00.000,Release Supplier's Invoice,R-752,Financial Manager
335,2011/03/01 10:34:00.000,2011/03/01 10:34:00.000,Authorize Supplier's Invoice payment,R-752,Financial Manager
335,2011/03/01 10:54:00.000,2011/03/01 11:09:00.000,Pay invoice,R-972,Financial Manager
748,2011/04/19 10:49:00.000,2011/04/19 11:02:00.000,Create Purchase Requisition,R-846,Requester
748,2011/04/19 15:23:00.000,2011/04/19 15:33:00.000,Create Request for Quotation Requester,R-591,Requester
748,2011/05/13 07:40:00.000,2011/05/13 07:47:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
748,2011/05/13 08:36:00.000,2011/05/13 08:42:00.000,Amend Request for Quotation Requester,R-170,Requester Manager
748,2011/05/22 00:33:00.000,2011/05/22 01:02:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
748,2011/05/22 01:47:00.000,2011/05/22 01:57:00.000,Amend Request for Quotation Requester,R-239,Requester Manager
748,2011/07/03 12:53:00.000,2011/07/03 13:06:00.000,Analyze Request for Quotation,R-312,Purchasing Agent
748,2011/07/04 03:18:00.000,2011/07/04 03:28:00.000,Send Request for Quotation to Supplier,R-312,Purchasing Agent
748,2011/07/04 03:59:00.000,2011/07/04 09:56:00.000,Create Quotation comparison Map,R-810,Purchasing Agent
748,2011/07/04 16:08:00.000,2011/07/04 16:37:00.000,Analyze Quotation comparison Map,R-763,Requester
748,2011/07/04 16:37:00.000,2011/07/04 16:37:00.000,Choose best option,R-297,Requester
748,2011/07/05 00:29:00.000,2011/07/05 04:36:00.000,Settle conditions with supplier,R-594,Purchasing Agent
748,2011/07/05 17:43:00.000,2011/07/05 17:50:00.000,Create Purchase Order,R-594,Purchasing Agent
748,2011/07/07 05:09:00.000,2011/07/07 05:22:00.000,Confirm Purchase Order,R-274,Supplier
748,2011/07/07 14:17:00.000,2011/07/08 21:48:00.000,Deliver Goods Services,R-274,Supplier
748,2011/07/09 05:08:00.000,2011/07/09 05:09:00.000,Release Purchase Order,R-371,Requester
748,2011/07/09 09:55:00.000,2011/07/09 09:56:00.000,Approve Purchase Order for payment,R-810,Purchasing Agent
748,2011/07/13 15:49:00.000,2011/07/13 15:49:00.000,Send invoice,R-543,Supplier
748,2011/07/14 06:17:00.000,2011/07/14 06:20:00.000,Release Supplier's Invoice,R-752,Financial Manager
748,2011/07/14 06:20:00.000,2011/07/14 06:20:00.000,Authorize Supplier's Invoice payment,R-752,Financial Manager
748,2011/07/14 06:38:00.000,2011/07/14 06:52:00.000,Pay invoice,R-972,Financial Manager
152,2011/01/20 00:20:00.000,2011/01/20 00:29:00.000,Create Purchase Requisition,R-439,Requester
152,2011/01/20 23:11:00.000,2011/01/20 23:18:00.000,Analyze Purchase Requisition,R-775,Requester Manager
152,2011/01/20 23:23:00.000,2011/01/20 23:24:00.000,Create Request for Quotation Requester Manager,R-264,Requester Manager
152,2011/01/23 06:28:00.000,2011/01/23 06:49:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
152,2011/01/23 07:38:00.000,2011/01/23 07:45:00.000,Amend Request for Quotation Requester,R-846,Requester Manager
152,2011/01/25 04:16:00.000,2011/01/25 04:42:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
152,2011/01/25 05:21:00.000,2011/01/25 05:28:00.000,Amend Request for Quotation Requester,R-763,Requester Manager
152,2011/01/25 16:57:00.000,2011/01/25 17:15:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
152,2011/01/25 18:03:00.000,2011/01/25 18:15:00.000,Amend Request for Quotation Requester,R-790,Requester Manager
152,2011/01/26 04:42:00.000,2011/01/26 05:07:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
152,2011/01/28 15:10:00.000,2011/01/28 15:22:00.000,Send Request for Quotation to Supplier,R-594,Purchasing Agent
152,2011/01/28 19:18:00.000,2011/01/28 21:17:00.000,Create Quotation comparison Map,R-810,Purchasing Agent
152,2011/01/29 03:37:00.000,2011/01/29 04:07:00.000,Analyze Quotation comparison Map,R-239,Requester
152,2011/01/29 04:07:00.000,2011/01/29 04:07:00.000,Choose best option,R-330,Requester
152,2011/01/30 00:58:00.000,2011/01/30 08:45:00.000,Settle conditions with supplier,R-594,Purchasing Agent
152,2011/01/30 09:42:00.000,2011/01/30 09:52:00.000,Create Purchase Order,R-594,Purchasing Agent
152,2011/01/31 03:13:00.000,2011/01/31 03:32:00.000,Confirm Purchase Order,R-543,Supplier
152,2011/01/31 13:02:00.000,2011/02/01 07:07:00.000,Deliver Goods Services,R-368,Supplier
152,2011/02/01 14:08:00.000,2011/02/01 14:09:00.000,Release Purchase Order,R-846,Requester
152,2011/02/01 20:37:00.000,2011/02/01 20:38:00.000,Approve Purchase Order for payment,R-810,Purchasing Agent
152,2011/02/02 19:12:00.000,2011/02/02 19:12:00.000,Send invoice,R-346,Supplier
152,2011/02/03 09:27:00.000,2011/02/03 09:31:00.000,Release Supplier's Invoice,R-752,Financial Manager
152,2011/02/03 09:31:00.000,2011/02/03 09:31:00.000,Authorize Supplier's Invoice payment,R-752,Financial Manager
152,2011/02/03 10:15:00.000,2011/02/03 10:29:00.000,Pay invoice,R-972,Financial Manager
153,2011/01/20 08:25:00.000,2011/01/20 08:34:00.000,Create Purchase Requisition,R-330,Requester
153,2011/01/21 02:59:00.000,2011/01/21 03:07:00.000,Analyze Purchase Requisition,R-264,Requester Manager
153,2011/01/21 03:12:00.000,2011/01/21 03:13:00.000,Create Request for Quotation Requester Manager,R-729,Requester Manager
153,2011/01/22 17:23:00.000,2011/01/22 17:55:00.000,Analyze Request for Quotation,R-810,Purchasing Agent
153,2011/01/22 18:37:00.000,2011/01/22 18:46:00.000,Amend Request for Quotation Requester,R-763,Requester Manager
153,2011/01/23 06:36:00.000,2011/01/23 07:05:00.000,Analyze Request for Quotation,R-594,Purchasing Agent
153,2011/01/23 19:25:00.000,2011/01/23 19:41:00.000,Send Request for Quotation to Supplier,R-312,Purchasing Agent
153,2011/01/23 20:53:00.000,2011/01/23 22:13:00.000,Create Quotation comparison Map,R-594,Purchasing Agent
153,2011/01/24 04:31:00.000,2011/01/24 04:48:00.000,Analyze Quotation comparison Map,R-768,Requester
153,2011/01/24 04:48:00.000,2011/01/24 04:48:00.000,Choose best option,R-768,Requester
153,2011/01/25 02:13:00.000,2011/01/25 06:30:00.000,Settle conditions with supplier,R-594,Purchasing Agent
